Код строки	Оператор	Вид отхода	Маршрут	Подрядчик	Контейнерная площадка	Район обслуживания	Адрес КП	Блок, квартира	Время вывоза	Всего контейнеров	Количество по факту вывоза	Вид контейнера	Вид вывоза бункера	Категория операции	Комментарий	Информация водителю	Приостановлен	Расторгнут	Обратить внимание	По дням недели	пн	вт	ср	чт	пт	сб	вс	1-я нед.	2-я нед.	3-я нед.	4-я нед.	5-я нед.	1 вс	2 пн	3 вт	4 ср	5 чт	6 пт	7 сб	8 вс	9 пн	10 вт	11 ср	12 чт	13 пт	14 сб	15 вс	16 пн	17 вт	18 ср	19 чт	20 пт	21 сб	22 вс	23 пн	24 вт	25 ср	26 чт	27 пт	28 сб	29 вс	30 пн	31 вт	Ответственный	Дата строки
3 735	РЭП-2	ТБО	ПЭТ_4 лот		С-1732	советский район	Нижний Новгород г., Бориса Панина ул.19		9:00:00	1	Нет	1,1рс					Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1				1			1				1	Миронов Д.М.	29.11.2019 9:06:52
19 851	РЭП-2	ТБО	НН.8		С-1868	советский район	Нижний Новгород г., Бориса Панина ул.19Б			1	Нет	8 м3	Выставить контейнер			Теплоэнерго 8-9632338478	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет												1																				Еналиева Марина Александровна	11.12.2019 16:46:21
22 790	РЭП-2	КГМ	КГМ- заявка		С-508	советский район	Нижний Новгород г., Бориса Панина ул.1А			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет										1																						Щепетильникова Елена Вячеславовна	10.12.2019 18:24:42
12 458	РЭП-2	КГМ	КГМ_Н5		С-508	советский район	Нижний Новгород г., Бориса Панина ул.1А		13:03:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
9 834	РЭП-2	ТБО	Н5		С-508	советский район	Нижний Новгород г., Бориса Панина ул.1А		9:36:00	2	Нет	1,1			f		Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 9:06:54
22 925	РЭП-2	КГМ	КГМ- заявка		С-508	советский район	Нижний Новгород г., Бориса Панина ул.1А			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																	1															Щепетильникова Елена Вячеславовна	17.12.2019 16:07:27
22 675	РЭП-2	КГМ	КГМ- заявка		С-509	советский район	Нижний Новгород г., Бориса Панина ул.21			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет				1																												Щепетильникова Елена Вячеславовна	04.12.2019 17:06:16
68 115	РЭП-2	КГМ	КГМ- заявка		С-509	советский район	Нижний Новгород г., Бориса Панина ул.21			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																					1											Майорова Наталья Викторовна	21.12.2019 16:06:26
68 134	РЭП-2	КГМ	КГМ- заявка		С-509	советский район	Нижний Новгород г., Бориса Панина ул.21			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																						1										Щепетильникова Елена Вячеславовна	22.12.2019 18:00:35
22 199	РЭП-2	КГМ	КГМ- заявка		С-509	советский район	Нижний Новгород г., Бориса Панина ул.21			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет							1																									Майорова Наталья Викторовна	07.12.2019 14:45:15
64 930	РЭП-2	ТБО	НН.8		С-509	советский район	Нижний Новгород г., Бориса Панина ул.21			1	Нет	1	Забрать без возврата	зачистка площадки			Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет												1																				Спирина Татьяна Александровна	13.12.2019 9:43:48
12 459	РЭП-2	КГМ	КГМ_Н5		С-509	советский район	Нижний Новгород г., Бориса Панина ул.21		13:16:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
64 998	РЭП-2	КГМ	КГМ- заявка		С-509	советский район	Нижний Новгород г., Бориса Панина ул.21			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет															1																	Майорова Наталья Викторовна	15.12.2019 15:28:04
9 025	РЭП-2	ТБО	С3		С-509	советский район	Нижний Новгород г., Бориса Панина ул.21		12:32:00	5	Нет	1,1				ДК 06-00	Нет	Нет	Нет	Да	5	5	5	5	5	5	5	Нет	Нет	Нет	Нет	Нет	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Миронов Д.М.	29.11.2019 9:06:53
22 823	РЭП-2	КГМ	КГМ- заявка		С-509	советский район	Нижний Новгород г., Бориса Панина ул.21			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет													1																			Майорова Наталья Викторовна	13.12.2019 17:06:02
16 227	РЭП-2	ТБО	С3		С-514	советский район	Нижний Новгород г., Бориса Панина ул.26		12:33:00	1	Нет	1,1					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:06:55
12 924	РЭП-2	КГМ	КГМ_С1		С-510	советский район	Нижний Новгород г., Бориса Панина ул.2612		13:32:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:36
9 026	РЭП-2	ТБО	Фарбе_лот4_3 0,75	Фарбе	С-511	советский район	Нижний Новгород г., Бориса Панина ул.3		7:56:00	4	Нет	0,75					Нет	Нет	Нет	Да			4			4		Нет	Нет	Нет	Нет	Нет				4			4				4			4				4			4				4			4				Миронов Д.М.	29.11.2019 9:06:53
9 028	РЭП-2	ТБО	С3		С-512	советский район	Нижний Новгород г., Бориса Панина ул.4		12:34:00	5	Нет	1,1				ДК 13-00  СТРОГО в период 7:00-22:00	Нет	Нет	Нет	Да	5	5	5	5	5	5	5	Нет	Нет	Нет	Нет	Нет	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	Миронов Д.М.	29.11.2019 9:06:53
12 461	РЭП-2	КГМ	КГМ_С1		С-512	советский район	Нижний Новгород г., Бориса Панина ул.4		12:48:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
22 824	РЭП-2	КГМ	КГМ- заявка		С-512	советский район	Нижний Новгород г., Бориса Панина ул.4			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет													1																			Майорова Наталья Викторовна	13.12.2019 17:06:08
68 135	РЭП-2	КГМ	КГМ- заявка		С-512	советский район	Нижний Новгород г., Бориса Панина ул.4			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																						1										Щепетильникова Елена Вячеславовна	22.12.2019 18:00:47
9 027	РЭП-2	ТБО	С3		С-512	советский район	Нижний Новгород г., Бориса Панина ул.4		12:34:00	2	Нет	1,1				ДК 13-00  СТРОГО в период 7:00-22:00	Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 9:06:53
2 434	РЭП-2	ТБО	ПЭТ_4 лот		С-512	советский район	Нижний Новгород г., Бориса Панина ул.4		9:01:00	1	Нет	1,1рс					Нет	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1				1			1				1	Миронов Д.М.	29.11.2019 9:06:52
9 029	РЭП-2	ТБО	Н5		С-513	советский район	Нижний Новгород г., Бориса Панина ул.5		9:36:00	2	Нет	1,1				ДК 11-00 строго с 7.00 до 23-00	Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 9:06:53
12 462	РЭП-2	КГМ	КГМ_Н5		С-513	советский район	Нижний Новгород г., Бориса Панина ул.5		12:56:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
1 783	РЭП-2	ТБО	Н5		С-1552	советский район	Нижний Новгород г., Бориса Панина ул.5/3		9:41:00	2	Нет	1,1					Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 9:06:52
33 737	РЭП-2	КГМ	КГМ_Н5		С-1552	советский район	Нижний Новгород г., Бориса Панина ул.5/3		13:04:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:36
1 784	РЭП-2	ТБО	Н5		С-1553	советский район	Нижний Новгород г., Бориса Панина ул.5/4		9:40:00	4	Нет	1,1					Нет	Нет	Нет	Да	4	4	4	4	4	4	4	Нет	Нет	Нет	Нет	Нет	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	Миронов Д.М.	29.11.2019 9:06:52
32 971	РЭП-2	КГМ	КГМ_Н5		С-1553	советский район	Нижний Новгород г., Бориса Панина ул.5/4		13:04:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:36
22 793	РЭП-2	КГМ	КГМ- заявка		С-1548	советский район	Нижний Новгород г., Бориса Панина ул.5/6			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет											1																					Щепетильникова Елена Вячеславовна	11.12.2019 17:50:17
68 114	РЭП-2	КГМ	КГМ- заявка		С-1548	советский район	Нижний Новгород г., Бориса Панина ул.5/6			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																					1											Майорова Наталья Викторовна	21.12.2019 16:06:25
32 983	РЭП-2	КГМ	КГМ_Н5		С-1548	советский район	Нижний Новгород г., Бориса Панина ул.5/6		13:04:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:36
1 766	РЭП-2	ТБО	Н5		С-1548	советский район	Нижний Новгород г., Бориса Панина ул.5/6		9:36:00	6	Нет	1,1					Нет	Нет	Нет	Да	6	6	6	6	6	6	6	Нет	Нет	Нет	Нет	Нет	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	Миронов Д.М.	29.11.2019 9:06:52
35 091	РЭП-2	ТБО	Н5		С-1947	советский район	Нижний Новгород г., Бориса Панина ул.5Г			1	Нет	0,36				ООО Пегас, парковка, 8-930-276-22-45, 415-91-59	Да	Нет	Нет	Да		1			1			Нет	Нет	Нет	Нет	Нет			1			1				1			1				1			1				1			1				1	Миронов Д.М.	29.11.2019 9:06:55
9 030	РЭП-2	ТБО	Н5		С-516	советский район	Нижний Новгород г., Бориса Панина ул.5к1		9:41:00	2	Нет	1,1				Строго с 07:00 до 22:00 !!!	Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 9:06:53
12 463	РЭП-2	КГМ	КГМ_Н5		С-516	советский район	Нижний Новгород г., Бориса Панина ул.5к1		13:04:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
9 031	РЭП-2	ТБО	Н5		С-517	советский район	Нижний Новгород г., Бориса Панина ул.5к2		9:42:00	3	Нет	1,1				ДК 12-00 СТРОГО с 07:00 до 23:00	Нет	Нет	Нет	Да	3	3	3	3	3	3	3	Нет	Нет	Нет	Нет	Нет	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	Миронов Д.М.	29.11.2019 9:06:53
12 464	РЭП-2	КГМ	КГМ_Н5		С-517	советский район	Нижний Новгород г., Бориса Панина ул.5к2		13:00:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
9 032	РЭП-2	ТБО	Н5		С-519	советский район	Нижний Новгород г., Бориса Панина ул.7		9:33:00	2	Нет	1,1				ДК 12-00	Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 9:06:53
64 997	РЭП-2	КГМ	КГМ- заявка		С-519	советский район	Нижний Новгород г., Бориса Панина ул.7			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет															1																	Майорова Наталья Викторовна	15.12.2019 15:28:03
12 465	РЭП-2	КГМ	КГМ_Н5		С-519	советский район	Нижний Новгород г., Бориса Панина ул.7		12:44:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
22 822	РЭП-2	КГМ	КГМ- заявка		С-519	советский район	Нижний Новгород г., Бориса Панина ул.7			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет													1																			Майорова Наталья Викторовна	13.12.2019 17:05:55
64 737	РЭП-2	КГМ	КГМ- заявка		С-1556	советский район	Нижний Новгород г., Бориса Панина ул.7/2			1	Нет	кгм					Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет					1																											Щепетильникова Елена Вячеславовна	05.12.2019 17:35:00
33 739	РЭП-2	КГМ	КГМ_Н5		С-1556	советский район	Нижний Новгород г., Бориса Панина ул.7/2		13:08:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:36
17 163	РЭП-2	ТБО	ПЭТ_4 лот		С-1556	советский район	Нижний Новгород г., Бориса Панина ул.7/2		9:00:30	2	Нет	1,1рс					Нет	Нет	Нет	Да	2				2			Нет	Нет	Нет	Нет	Нет		2				2			2				2			2				2			2				2			2		Миронов Д.М.	29.11.2019 9:06:55
1 787	РЭП-2	ТБО	Н5		С-1556	советский район	Нижний Новгород г., Бориса Панина ул.7/2		9:32:00	6	Нет	1,1					Нет	Нет	Нет	Да	6	6	6	6	6	6	6	Нет	Нет	Нет	Нет	Нет	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	6	Миронов Д.М.	29.11.2019 9:06:52
1 785	РЭП-2	ТБО	Н5		С-1554	советский район	Нижний Новгород г., Бориса Панина ул.7/4		9:33:00	4	Нет	1,1					Нет	Нет	Нет	Да	4	4	4	4	4	4	4	Нет	Нет	Нет	Нет	Нет	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	Миронов Д.М.	29.11.2019 9:06:52
33 741	РЭП-2	КГМ	КГМ_Н5		С-1554	советский район	Нижний Новгород г., Бориса Панина ул.7/4		13:08:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:36
33 742	РЭП-2	КГМ	КГМ_Н5		С-1555	советский район	Нижний Новгород г., Бориса Панина ул.7/5		13:08:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:36
1 786	РЭП-2	ТБО	Н5		С-1555	советский район	Нижний Новгород г., Бориса Панина ул.7/5		9:34:00	4	Нет	1,1					Нет	Нет	Нет	Да	4	4	4	4	4	4	4	Нет	Нет	Нет	Нет	Нет	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	Миронов Д.М.	29.11.2019 9:06:52
9 033	РЭП-2	ТБО	С3		С-520	советский район	Нижний Новгород г., Бориса Панина ул.7А		12:32:00	2	Нет	1,1				ДК 12-00	Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 9:06:53
12 466	РЭП-2	КГМ	КГМ_Н5		С-520	советский район	Нижний Новгород г., Бориса Панина ул.7А		13:08:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
19 666	РЭП-2	ТБО	НН.8		С-1954	советский район	Нижний Новгород г., Бориса Панина ул.7Б				Нет	8 м3			по заявке	Теплоэнерго по заявке 8-963-233-84-78	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 9:06:55
2 188	РЭП-2	ТБО	Н5		С-1427	советский район	Нижний Новгород г., Бориса Панина ул.7В		9:35:00	2	Нет	1,1			f	пятёрочка, ОБЯЗАТЕЛЬНО ПОСЛЕ ПОГРУЗКИ ЗАКРЫВАТЬ ДВЕРИ КОНТЕЙНЕРКИ НА ЗАМОК!!!	Нет	Нет	Нет	Да		2			2			Нет	Нет	Нет	Нет	Нет			2			2				2			2				2			2				2			2				2	Миронов Д.М.	29.11.2019 9:06:52
18 850	РЭП-2	КГМ	КГМ_Н5		С-1427	советский район	Нижний Новгород г., Бориса Панина ул.7В				Нет	кгм			по заявке	Маг.Пятерочка по заявке 8-905-504-90-56-магазин, 8-908-150-29-09-директор	Нет	Нет	Нет	Нет								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 9:56:36
5 159	РЭП-2	КГМ	КГМ_Н5		С-1427	советский район	Нижний Новгород г., Бориса Панина ул.7В		13:08:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
623	РЭП-2	ТБО	Н5		С-1427	советский район	Нижний Новгород г., Бориса Панина ул.7В		9:35:00	2	Нет	1,1					Нет	Нет	Нет	Да	2	2	2	2	2	2	2	Нет	Нет	Нет	Нет	Нет	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	Миронов Д.М.	29.11.2019 9:06:52
1 758	РЭП-2	ТБО	Н5		С-1546	советский район	Нижний Новгород г., Бориса Панина ул.7к3		9:36:00	3	Нет	1,1					Нет	Нет	Нет	Да	3	3	3	3	3	3	3	Нет	Нет	Нет	Нет	Нет	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	Миронов Д.М.	29.11.2019 9:06:52
33 740	РЭП-2	КГМ	КГМ_Н5		С-1546	советский район	Нижний Новгород г., Бориса Панина ул.7к3		13:08:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:36
12 467	РЭП-2	КГМ	КГМ_С1		С-521	советский район	Нижний Новгород г., Бориса Панина ул.8/54		13:08:00		Нет	кгм					Нет	Нет	Нет	Да								Нет	Нет	Нет	Нет	Нет																																Миронов Д.М.	29.11.2019 9:56:35
9 034	РЭП-2	ТБО	С3		С-521	советский район	Нижний Новгород г., Бориса Панина ул.8/54		12:35:00	1	Нет	1,1				421-40-96, 428-59-39, 428-49-90  Ворота	Нет	Нет	Нет	Да		1		1		1		Нет	Нет	Нет	Нет	Нет			1		1		1			1		1		1			1		1		1			1		1		1			1	Миронов Д.М.	29.11.2019 9:06:53
9 035	РЭП-2	ТБО	С3		С-522	советский район	Нижний Новгород г., Бориса Панина ул.9		12:33:00	3	Нет	1,1				ДК 12-00	Нет	Нет	Нет	Да	3	3	3	3	3	3	3	Нет	Нет	Нет	Нет	Нет	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	Миронов Д.М.	29.11.2019 9:06:53
12 468	РЭП-2	КГМ	КГМ_Н5		С-522	советский район	Нижний Новгород г., Бориса Панина ул.9		13:12:00	1	Нет	кгм					Нет	Нет	Нет	Да	1	1	1	1	1	1	1	Нет	Нет	Нет	Нет	Нет	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	Миронов Д.М.	29.11.2019 9:56:35
13 437	Чистый двор	ТБО	ЧС Мск_1 (пн,чт)		М-685	московский район	Нижний Новгород г., Боткина ул.10		15:20:00	1	Нет	Подвор.сбор				Част.дом	Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 7:30:17
13 436	Чистый двор	ТБО	ЧС Мск_1 (пн,чт)		М-685	московский район	Нижний Новгород г., Боткина ул.10	2	15:20:00	1	Нет	Подвор.сбор				Част.дом	Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 7:30:17
20 319	Чистый двор	КГМ	КГМ_М4_ЧС1 (пн, чт)		М-685	московский район	Нижний Новгород г., Боткина ул.10		14:20:00	1	Нет	кгм					Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 8:49:41
20 321	Чистый двор	КГМ	КГМ_М4_ЧС1 (пн, чт)		М-685	московский район	Нижний Новгород г., Боткина ул.10		14:20:00	1	Нет	кгм					Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 8:49:41
13 435	Чистый двор	ТБО	ЧС Мск_1 (пн,чт)		М-685	московский район	Нижний Новгород г., Боткина ул.10	1	15:20:00	1	Нет	Подвор.сбор				Част.дом	Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 7:30:17
20 320	Чистый двор	КГМ	КГМ_М4_ЧС1 (пн, чт)		М-685	московский район	Нижний Новгород г., Боткина ул.10		14:20:00	1	Нет	кгм					Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 8:49:41
20 323	Чистый двор	КГМ	КГМ_М4_ЧС1 (пн, чт)		М-683	московский район	Нижний Новгород г., Боткина ул.2		14:20:00	1	Нет	кгм					Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 8:49:41
20 322	Чистый двор	КГМ	КГМ_М4_ЧС1 (пн, чт)		М-683	московский район	Нижний Новгород г., Боткина ул.2		14:20:00	1	Нет	кгм					Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 8:49:41
13 429	Чистый двор	ТБО	ЧС Мск_1 (пн,чт)		М-683	московский район	Нижний Новгород г., Боткина ул.2	1	15:20:00	1	Нет	Подвор.сбор				Част.дом	Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 7:30:17
13 430	Чистый двор	ТБО	ЧС Мск_1 (пн,чт)		М-683	московский район	Нижний Новгород г., Боткина ул.2	2	15:20:00	1	Нет	Подвор.сбор				Част.дом	Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 7:30:17
20 327	Чистый двор	КГМ	КГМ_М4_ЧС1 (пн, чт)		М-684	московский район	Нижний Новгород г., Боткина ул.4		14:20:00	1	Нет	кгм					Нет	Нет	Нет	Да	1			1				Нет	Нет	Нет	Нет	Нет		1			1				1			1				1			1				1			1				1		Миронов Д.М.	29.11.2019 8:49:41
